Classifier,Accuracy,Precision,Recall,F1-Score
SVM,0.9743589743589743,0.975,0.9743589743589743,0.9743504330446369
KNN,0.9658119658119658,0.9659909909909908,0.9658119658119658,0.9655785032200755
Random Forest,0.9230769230769231,0.9304922935357718,0.923076923076923,0.9232997703585939
