Feature Set,Num Features,Accuracy,Macro F1
HOG + LBP,766,0.9743589743589743,0.9743504330446369
HOG + Geometric,765,0.9743589743589743,0.9743504330446369
All features,777,0.9743589743589743,0.9743504330446369
HOG only,756,0.9658119658119658,0.9658007197480881
Geometric only,9,0.811965811965812,0.8099318306214857
LBP only,10,0.6153846153846154,0.6087244999009704
